data,value
936,258
937,247
938,230
939,273
940,253
941,254
942,241
943,229
944,199
945,193
946,207
947,176
948,91
949,58
950,39
951,50
952,51
953,49
954,54
955,153
956,181
957,181
958,182
959,156
960,27
961,16
962,22
963,21
964,6
965,8
966,8
967,8
968,10
969,9
970,20
971,14
972,16
973,14
974,10
975,7
976,8
977,12
978,15
979,8
980,11
981,18
982,16
983,11
984,10
985,11
986,10
987,10
988,12
989,12
990,10
991,10
992,9
993,9
994,11
995,12
996,12
997,12
998,21
999,18
1000,13
1001,18
1002,17
1003,19
1004,22
1005,20
1006,24
1007,19
1008,13
1009,17
1010,22
1011,16
1012,16
1013,11
1014,10
1015,9
1016,11
1017,14
1018,21
1019,26
1020,21
1021,19
1022,13
1023,13
1024,13
1025,13
1026,11
1027,19
1028,22
1029,50
1030,58
1031,60
1032,69
1033,108
1034,51
1035,54
1036,38
1037,27
1038,23
1039,27
1040,28
1041,24
1042,26
1043,23
1044,37
1045,46
1046,49
1047,53
1048,57
1049,51
1050,64
1051,100
1052,113
1053,136
1054,213
1055,259
1056,267
1057,351
1058,980
1059,599
1060,599
1061,39
1062,7
1063,8
1064,7
1065,7
1066,7
1067,16
1068,19
1069,15
1070,21
1071,18
1072,16
1073,15
1074,16
1075,16
1076,21
1077,36
1078,51
1079,67
1080,46
1081,45
1082,27
1083,24
1084,18
1085,15
1086,17
1087,11
1088,16
1089,16
1090,39
1091,25
1092,17
1093,8
1094,11
1095,14
1096,15
1097,15
1098,13
1099,13
1100,26
1101,50
1102,73
1103,96
1104,116
1105,146
1106,113
1107,91
1108,70
1109,65
1110,51
1111,29
1112,30
1113,26
1114,26
1115,24
1116,21
1117,24
1118,39
1119,79
1120,99
1121,118
1122,140
1123,159
1124,161
1125,167
1126,178
1127,192
1128,198
1129,207
1130,237
1131,247
1132,227
1133,176
1134,113
1135,46
1136,18
1137,13
1138,22
1139,15
1140,18
1141,18
1142,12
1143,11
1144,11
1145,12
1146,9
1147,9
1148,27
1149,31
1150,39
1151,49
1152,48
1153,50
1154,38
1155,36
1156,41
1157,80
1158,70
1159,74
1160,77
1161,87
1162,107
1163,54
1164,36
1165,34
1166,19
1167,26
1168,27
1169,27
1170,29
1171,41
1172,47
1173,115
1174,265
1175,236
1176,296
1177,159
1178,119
1179,115
1180,168
1181,177
1182,191
1183,185
1184,157
1185,114
1186,117
1187,112
1188,107
1189,96
1190,99
1191,82
1192,58
1193,40
1194,45
1195,44
1196,49
1197,65
1198,101
1199,146
1200,165
1201,205
1202,191
1203,204
1204,190
1205,174
1206,144
1207,120
1208,122
1209,152
1210,158
1211,178
1212,184
1213,184
1214,185
1215,175
1216,165
1217,150
1218,163
1219,172
1220,184
1221,178
1222,211
1223,213
1224,282
1225,261
1226,215
1227,233
1228,235
1229,214
1230,205
1231,206
1232,220
1233,191
1234,189
1235,109
1236,65
1237,35
1238,35
1239,27
1240,36
1241,30
1242,23
1243,20
1244,30
1245,69
1246,99
1247,117
1248,154
1249,154
1250,136
1251,143
1252,132
1253,100
1254,89
1255,90
1256,90
1257,99
1258,92
1259,80
1260,56
1261,60
1262,72
1263,76
1264,79
1265,84
1266,92
1267,100
1268,95
1269,81
1270,95
1271,87
1272,86
1273,90
1274,111
1275,104
1276,129
1277,117
1278,105
1279,112
1280,130
1281,134
1282,136
1283,142
1284,150
1285,148
1286,160
1287,179
1288,183
1289,191
1290,195
1291,196
1292,218
1293,246
1294,264
1295,274
1296,282
1297,283
1298,242
1299,227
1300,223
1301,227
1302,227
1303,237
1304,243
1305,262
1306,296
1307,301
1308,302
1309,311
1310,307
1311,312
1312,298
1313,292
1314,299
1315,353
1316,368
1317,309
1318,284
1319,244
1320,218
1321,164
1322,153
1323,135
1324,134
1325,139
1326,148
1327,210
1328,218
1329,253
1330,266
1331,241
1332,235
1333,237
1334,248
1335,180
1336,176
1337,165
1338,138
1339,136
1340,136
1341,130
1342,118
1343,56
1344,55
1345,52
1346,46
1347,46
1348,45
1349,51
1350,53
1351,50
1352,46
1353,58
1354,75
1355,72
1356,82
1357,81
1358,91
1359,93
1360,90
1361,79
1362,79
1363,70
1364,70
1365,84
1366,103
1367,95
1368,66
1369,38
1370,35
1371,30
1372,29
1373,31
1374,29
1375,31
1376,34
1377,52
1378,65
1379,89
1380,138
1381,77
1382,88
1383,95
1384,105
1385,101
1386,102
1387,103
1388,105
1389,98
1390,124
1391,112
1392,123
1393,126
1394,114
1395,115
1396,128
1397,138
1398,145
1399,139
1400,119
1401,114
1402,78
1403,80
1404,37
1405,20
1406,20
1407,14
1408,13
1409,16
1410,15
1411,21
1412,72
1413,85
1414,108
1415,128
1416,161
1417,69
1418,59
1419,42
1420,35
1421,35
1422,29
1423,25
1424,23
1425,17
1426,25
1427,39
1428,44
1429,51
1430,61
1431,70
1432,70
1433,65
1434,75
1435,86
1436,91
1437,95
1438,89
1439,96
1440,99
1441,101
1442,101
1443,108
1444,108
1445,115
1446,111
1447,120
1448,125
1449,138
1450,164
1451,169
1452,82
1453,63
1454,37
1455,37
1456,36
1457,30
1458,27
1459,28
1460,34
1461,44
1462,116
1463,139
1464,129
1465,109
1466,97
1467,92
1468,158
1469,178
1470,135
1471,111
1472,114
1473,121
1474,126
1475,133
1476,146
1477,165
1478,202
1479,230
1480,247
1481,236
1482,227
1483,224
1484,187
1485,150
1486,144
1487,123
1488,134
1489,98
1490,101
1491,108
1492,126
1493,125
1494,121
1495,123
1496,126
1497,131
1498,126
1499,156
1500,187
1501,220
1502,237
1503,252
1504,226
1505,231
1506,222
1507,246
1508,261
1509,256
1510,255
1511,263
1512,269
1513,248
1514,89
1515,15
1516,19
1517,15
1518,13
1519,16
1520,19
1521,19
1522,24
1523,24
1524,17
1525,11
1526,17
1527,14
1528,16
1529,16
1530,18
1531,22
1532,30
1533,27
1534,29
1535,20
1536,14
1537,19
1538,16
1539,12
1540,13
1541,15
1542,11
1543,19
1544,16
1545,27
1546,23
1547,29
1548,26
1549,39
1550,52
1551,65
1552,91
1553,103
1554,99
1555,99
1556,103
1557,96
1558,76
1559,69
1560,83
1561,62
1562,51
1563,53
1564,68
1565,71
1566,62
1567,58
1568,69
1569,74
1570,67
1571,57
1572,69
1573,83
1574,92
1575,100
1576,108
1577,132
1578,132
1579,134
1580,128
1581,124
1582,116
1583,114
1584,70
1585,76
1586,68
1587,74
1588,75
1589,63
1590,73
1591,61
1592,63
1593,65
1594,43
1595,29
1596,28
1597,26
1598,29
1599,32
1600,33
1601,43
1602,50
1603,56
1604,63
1605,47
1606,27
1607,20
1608,16
1609,5
1610,7
1611,8
1612,10
1613,13
1614,11
1615,13
1616,20
1617,18
1618,18
1619,14
1620,20
1621,19
1622,20
1623,20
1624,23
1625,21
1626,14
1627,16
1628,16
1629,26
1630,22
1631,27
1632,51
1633,46
1634,51
1635,48
1636,61
1637,58
1638,85
1639,84
1640,87
1641,111
1642,105
1643,70
1644,53
1645,48
1646,44
1647,33
1648,37
1649,40
1650,34
1651,32
1652,33
1653,51
1654,62
1655,68
1656,89
1657,101
1658,106
1659,144
1660,142
1661,140
1662,158
1663,135
1664,145
1665,161
1666,183
1667,199
1668,224
1669,193
1670,167
1671,162
1672,163
1673,163
1674,154
1675,189
1676,210
1677,222
1678,216
1679,219
1680,223
1681,213
1682,314
1683,59
1684,38
1685,29
1686,27
1687,20
1688,18
1689,19
1690,14
1691,19
1692,23
1693,14
1694,12
1695,12
1696,16
1697,16
1698,17
1699,19
1700,32
1701,53
1702,54
1703,52
1704,91
1705,79
1706,71
1707,47
1708,40
1709,41
1710,41
1711,38
1712,50
1713,69
1714,82
1715,79
1716,76
1717,78
1718,71
1719,73
1720,68
1721,58
1722,61
1723,58
1724,75
1725,78
1726,64
1727,53
1728,41
1729,37
1730,44
1731,65
1732,68
1733,75
1734,80
1735,80
1736,105
1737,86
1738,93
1739,90
1740,73
1741,68
1742,68
1743,78
1744,83
1745,86
1746,94
1747,112
1748,108
1749,116
1750,105
1751,112
1752,87
1753,103
1754,129
1755,153
1756,220
1757,175
1758,132
1759,69
1760,60
1761,50
1762,43
1763,36
1764,26
1765,21
1766,27
1767,21
1768,22
1769,22
1770,17
1771,25
1772,52
1773,30
1774,33
1775,38
1776,44
1777,61
1778,63
1779,72
1780,67
1781,55
1782,50
1783,55
1784,71
1785,79
1786,72
1787,73
1788,73
1789,53
1790,56
1791,60
1792,64
1793,53
1794,45
1795,54
1796,62
1797,63
1798,67
1799,85
1800,89
1801,76
1802,41
1803,83
1804,85
1805,41
1806,18
1807,27
1808,33
1809,34
1810,28
1811,27
1812,23
1813,22
1814,26
1815,20
1816,21
1817,24
1818,23
1819,28
1820,39
1821,51
1822,67
1823,66
1824,76
1825,71
1826,89
1827,96
1828,91
1829,86
1830,83
1831,80
1832,90
1833,110
1834,135
1835,144
1836,166
1837,179
1838,201
1839,227
1840,219
1841,208
1842,202
1843,205
1844,206
1845,209
1846,226
1847,222
1848,239
1849,241
1850,249
1851,248
1852,247
1853,228
1854,225
1855,222
1856,221
1857,214
1858,217
1859,231
1860,249
1861,245
1862,250
1863,232
1864,243
1865,239
1866,234
1867,240
1868,224
1869,206
1870,217
1871,180
1872,180
1873,183
1874,180
1875,216
1876,215
1877,700
1878,473
1879,473
1880,473
1881,201
1882,274
1883,381
1884,343
1885,156
1886,64
1887,51
1888,47
1889,37
1890,26
1891,22
1892,19
1893,23
1894,21
1895,27
1896,41
1897,46
1898,55
1899,46
1900,60
1901,47
1902,50
1903,51
1904,41
1905,48
1906,50
1907,55
1908,56
1909,52
1910,49
1911,53
1912,73
1913,82
1914,90
1915,106
1916,113
1917,121
1918,116
1919,111
1920,83
1921,85
1922,87
1923,90
1924,90
1925,100
1926,95
1927,96
1928,102
1929,112
1930,315
1931,784
1932,761
1933,204
1934,122
1935,158
1936,226
1937,128
1938,49
1939,47
1940,27
1941,25
1942,27
1943,18
1944,28
1945,28
1946,16
1947,24
1948,24
1949,25
1950,46
1951,54
1952,60
1953,86
1954,58
1955,63
1956,59
1957,59
1958,54
1959,53
1960,55
1961,60
1962,55
1963,64
1964,64
1965,55
1966,57
1967,63
1968,69
1969,70
1970,72
1971,71
1972,73
1973,71
1974,70
1975,68
1976,63
1977,67
1978,76
1979,65
1980,44
1981,36
1982,29
1983,20
1984,53
1985,92
1986,134
1987,97
1988,64
1989,52
1990,63
1991,36
1992,22
1993,48
1994,52
1995,43
1996,44
1997,51
1998,69
1999,54
2000,10
2001,12
2002,10
2003,9
2004,12
2005,12
2006,18
2007,16
2008,20
2009,20
2010,18
2011,30
2012,27
2013,29
2014,33
2015,34
2016,59
2017,63
2018,67
2019,62
2020,72
2021,48
2022,70
2023,57
2024,61
2025,38
2026,44
2027,37
2028,43
2029,50
2030,64
2031,64
2032,72
2033,70
2034,65
2035,72
2036,84
2037,85
2038,98
2039,142
2040,97
2041,106
2042,89
2043,61
2044,46
2045,127
2046,134
2047,99
2048,85
2049,75
2050,79
2051,81
2052,74
2053,62
2054,71
2055,58
2056,48
2057,50
2058,54
2059,61
2060,59
2061,62
2062,54
2063,57
2064,44
2065,41
2066,48
2067,44
2068,56
2069,59
2070,67
2071,68
2072,99
2073,88
2074,74
2075,86
2076,93
2077,96
2078,120
2079,99
2080,100
2081,63
2082,57
2083,46
2084,48
2085,60
2086,57
2087,72
2088,82
2089,92
2090,100
2091,117
2092,129
2093,132
2094,142
2095,147
2096,169
2097,208
2098,198
2099,203
2100,218
2101,220
2102,222
2103,237
2104,245
2105,260
2106,259
2107,275
2108,280
2109,296
2110,366
2111,317
2112,297
2113,288
2114,288
2115,254
2116,254
2117,248
2118,271
2119,271
2120,271
2121,271
2122,271
2123,271
2124,271
2125,271
2126,195
2127,195
2128,195
2129,195
2130,195
2131,195
2132,195
2133,195
2134,195
2135,195
2136,195
2137,195
2138,195
2139,195
2140,195
2141,195
2142,195
2143,195
2144,124
2145,129
2146,129
2147,129
2148,129
2149,129
2150,129
2151,129
2152,129
2153,129
2154,200
2155,187
2156,149
2157,113
2158,85
2159,71
2160,42
2161,31
2162,39
2163,49
2164,35
2165,31
2166,26
2167,24
2168,22
2169,30
2170,25
2171,21
2172,21
2173,21
2174,35
2175,31
2176,15
2177,16
2178,18
2179,15
2180,17
2181,24
2182,20
2183,54
2184,39
2185,27
2186,52
2187,41
2188,35
2189,44
2190,45
2191,40
2192,27
2193,27
2194,21
2195,14
2196,14
2197,17
2198,13
2199,17
2200,16
2201,18
2202,12
2203,12
2204,21
2205,30
2206,69
2207,77
2208,49
2209,48
2210,53
2211,52
2212,53
2213,58
2214,56
2215,60
2216,100
2217,133
2218,138
2219,67
2220,59
2221,82
2222,89
2223,110
2224,128
2225,132
2226,136
2227,132
2228,119
2229,131
2230,161
2231,168
2232,164
2233,184
2234,178
2235,194
2236,206
2237,191
2238,180
2239,200
2240,170
2241,197
2242,184
2243,167
2244,111
2245,92
2246,44
2247,41
2248,34
2249,27
2250,32
2251,43
2252,61
2253,70
2254,87
2255,98
2256,173
2257,199
2258,177
2259,169
2260,187
2261,166
2262,161
2263,169
2264,180
2265,166
2266,185
2267,166
2268,171
2269,176
2270,186
2271,142
2272,121
2273,130
2274,132
2275,126
2276,47
2277,25
2278,23
2279,20
2280,18
2281,30
2282,14
2283,12
2284,18
2285,19
2286,33
2287,26
2288,24
2289,28
2290,27
2291,19
2292,16
2293,15
2294,16
2295,16
2296,15
2297,17
2298,12
2299,15
2300,17
2301,23
2302,19
2303,24
2304,34
2305,52
2306,55
2307,69
2308,87
2309,102
2310,79
2311,75
2312,68
2313,78
2314,101
2315,114
2316,135
2317,140
2318,118
2319,108
2320,103
2321,94
2322,90
2323,87
2324,80
2325,84
2326,96
2327,110
2328,104
2329,97
2330,84
2331,74
2332,74
2333,67
2334,69
2335,69
2336,75
2337,78
2338,91
2339,107
2340,107
2341,127
2342,132
2343,128
2344,122
2345,113
2346,105
2347,127
2348,144
2349,158
2350,141
2351,124
2352,131
2353,150
2354,137
2355,128
2356,103
2357,60
2358,50
2359,63
2360,77
2361,62
2362,58
2363,77
2364,131
2365,121
2366,81
2367,77
2368,67
2369,66
2370,60
2371,71
2372,94
2373,90
2374,85
2375,75
2376,79
2377,91
2378,89
2379,102
2380,49
2381,14
2382,14
2383,16
2384,14
2385,22
2386,17
2387,16
2388,19
2389,19
2390,24
2391,22
2392,22
2393,32
2394,30
2395,24
2396,29
2397,56
2398,58
2399,53
2400,37
2401,39
2402,40
2403,44
2404,48
2405,54
2406,73
2407,89
2408,80
2409,84
2410,91
2411,68
2412,67
2413,75
2414,68
2415,63
2416,57
2417,50
2418,63
2419,81
2420,78
2421,79
2422,87
2423,86
2424,86
2425,87
2426,84
2427,86
2428,108
2429,116
2430,105
2431,95
2432,44
2433,33
2434,23
2435,22
2436,42
2437,88
2438,40
2439,25
2440,29
2441,31
2442,23
2443,14
2444,14
2445,12
2446,11
2447,8
2448,7
2449,8
2450,11
2451,14
2452,13
2453,13
2454,16
2455,14
2456,14
2457,19
2458,12
2459,13
2460,15
2461,14
2462,13
2463,12
2464,11
2465,13
2466,13
2467,13
2468,17
2469,31
2470,47
2471,68
2472,69
2473,100
2474,81
2475,55
2476,48
2477,42
2478,39
2479,26
2480,24
2481,25
2482,30
2483,43
2484,42
2485,57
2486,38
2487,41
2488,54
2489,50
2490,81
2491,96
2492,94
2493,84
2494,67
2495,70
2496,76
2497,79
2498,81
2499,84
2500,97
2501,106
2502,121
2503,130
2504,142
2505,171
2506,196
2507,198
2508,206
2509,203
2510,204
2511,199
2512,193
2513,194
2514,202
2515,200
2516,206
2517,212
2518,220
2519,237
2520,225
2521,235
2522,239
2523,244
2524,255
2525,247
2526,253
2527,242
2528,244
2529,235
2530,249
2531,254
2532,266
2533,286
2534,289
2535,285
2536,215
2537,185
2538,151
2539,134
2540,143
2541,123
2542,102
2543,96
2544,92
2545,91
2546,107
2547,103
2548,129
2549,130
2550,116
2551,128
2552,152
2553,154
2554,151
2555,165
2556,149
2557,162
2558,170
2559,143
2560,144
2561,156
2562,161
2563,140
2564,134
2565,138
2566,184
2567,223
2568,212
2569,206
2570,212
2571,209
2572,198
2573,192
2574,184
2575,177
2576,183
2577,184
2578,195
2579,209
2580,200
2581,207
2582,215
2583,229
2584,248
2585,255
2586,268
2587,264
2588,257
2589,300
2590,309
2591,331
2592,351
2593,389
2594,385
2595,382
2596,382
2597,369
2598,343
2599,342
2600,324
2601,307
2602,272
2603,131
2604,36
2605,22
2606,17
2607,17
2608,27
2609,170
2610,175
2611,121
2612,198
2613,184
2614,167
2615,155
2616,152
2617,110
2618,94
2619,100
2620,100
2621,94
2622,87
2623,82
2624,83
2625,94
2626,92
2627,84
2628,69
2629,83
2630,90
2631,95
2632,73
2633,66
2634,77
2635,80
2636,76
2637,80
2638,71
2639,55
2640,53
2641,48
2642,52
2643,46
2644,38
2645,30
2646,26
2647,27
2648,47
2649,50
2650,51
2651,48
2652,51
2653,49
2654,51
2655,39
2656,23
2657,16
2658,26
2659,32
2660,35
2661,34
2662,46
2663,44
2664,41
2665,34
2666,31
2667,49
2668,37
2669,27
2670,37
2671,45
2672,44
2673,53
2674,48
2675,47
2676,46
2677,42
2678,40
2679,38
2680,30
2681,34
2682,35
2683,35
2684,26
2685,33
2686,47
2687,41
2688,47
2689,37
2690,41
2691,60
2692,62
2693,36
2694,31
2695,24
2696,65
2697,51
2698,41
2699,39
2700,31
2701,19
2702,19
2703,18
2704,10
2705,16
2706,23
2707,21
2708,20
2709,23
2710,32
2711,39
2712,38
2713,45
2714,53
2715,56
2716,54
2717,65
2718,73
2719,70
2720,81
2721,90
2722,86
2723,107
2724,122
2725,114
2726,111
2727,112
2728,111
2729,117
2730,103
2731,85
2732,79
2733,78
2734,83
2735,89
2736,93
2737,98
2738,93
2739,96
2740,92
2741,106
2742,98
2743,110
2744,129
2745,141
2746,140
2747,142
2748,134
2749,133
2750,128
2751,110
2752,120
2753,135
2754,22
2755,15
2756,19
2757,16
2758,9
2759,7
2760,7
2761,10
2762,8
2763,5
2764,9
2765,20
2766,8
2767,7
2768,6
2769,16
2770,10
2771,11
2772,11
2773,18
2774,26
2775,25
2776,20
2777,24
2778,15
2779,10
2780,10
2781,14
2782,11
2783,11
2784,16
2785,13
2786,16
2787,15
2788,17
2789,18
2790,22
2791,19
2792,22
2793,27
2794,31
2795,42
2796,46
2797,50
2798,45
2799,47
2800,30
2801,31
2802,16
2803,14
2804,17
2805,15
2806,14
2807,14
2808,11
2809,24
2810,27
2811,15
2812,13
2813,11
2814,11
2815,13
2816,13
2817,14
2818,15
2819,14
2820,19
2821,14
2822,13
2823,15
2824,11
2825,20
2826,16
2827,14
2828,17
2829,16
2830,15
2831,38
2832,15
2833,18
2834,16
2835,19
2836,18
2837,20
2838,19
2839,17
2840,21
2841,20
2842,19
2843,17
2844,16
2845,15
2846,17
2847,22
2848,19
2849,17
2850,18
2851,27
2852,22
2853,18
2854,19
2855,15
2856,19
2857,27
2858,21
2859,24
2860,32
2861,40
2862,36
2863,20
2864,32
2865,28
2866,21
2867,20
2868,19
2869,19
2870,16
2871,20
2872,15
2873,20
2874,20
2875,23
2876,37
2877,34
2878,39
2879,45
2880,54
2881,62
2882,70
2883,66
2884,70
2885,82
2886,97
2887,86
2888,94
2889,89
2890,90
2891,86
2892,70
2893,79
2894,80
2895,69
2896,52
2897,48
2898,35
2899,31
2900,37
2901,63
2902,61
2903,74
2904,74
2905,75
2906,68
2907,77
2908,93
2909,102
2910,111
2911,127
2912,132
2913,146
2914,151
2915,142
2916,115
2917,59
2918,63
2919,65
2920,57
2921,55
2922,45
2923,39
2924,32
2925,32
2926,31
2927,32
2928,24
2929,36
2930,56
2931,43
2932,69
2933,45
2934,44
2935,64
2936,80
2937,53
2938,102
2939,133
2940,151
2941,149
2942,141
2943,146
2944,150
2945,150
2946,151
2947,142
2948,138
2949,142
2950,142
2951,150
2952,160
2953,118
2954,114
2955,111
2956,113
2957,120
2958,129
2959,133
2960,118
2961,119
2962,118
2963,132
2964,128
2965,135
2966,123
2967,118
2968,104
2969,121
2970,136
2971,172
2972,208
2973,228
2974,201
2975,142
2976,154
2977,165
2978,182
2979,158
2980,181
2981,202
2982,202
2983,198
2984,215
2985,216
2986,261
2987,283
2988,282
2989,260
2990,70
2991,32
2992,13
2993,9
2994,7
2995,11
2996,14
2997,14
2998,14
